"ExternalSiteId","Latitude","Longitude","Height"
"1000016248",51.7762,5.8645,15
"1000003929",51.7772,5.1025,2
"1000005924",51.7878,4.6716,5
"919756001",51.803938,3.935985,2
"1000002836",51.8067,4.7171,0
"1000009623",51.8101,4.7122,8
"1000000858",51.8112674,4.283752,2
"925986001",51.8113,5.7997,9
"946466001",51.8141,4.5108,-2
"1000012319",51.8147,3.9346,3
"973276001",51.815403,5.831703,20
"1000012949",51.8157,4.2548,-5
"1000005328",51.8162,5.8351,0
"1000001019",51.8206912285973,4.64345246314997,0
"1000011660",51.8235,4.7963,0
"1000000806",51.824,4.8362,0
"1000001129",51.825764,5.132142,2
"922486001",51.826994,4.830227,0
"1000008224",51.8289,4.6503,0
"1000001134",51.829,5.832,0
"1000012437",51.829,5.833,30
"1000008226",51.8294,4.3201,0
"1000006320",51.833125,4.142793,-2
"1000010044",51.8353,4.1583,0
"1000000046",51.8368,5.0016,1
"1000005359",51.8408,4.1495,0
"1000004796",51.8422,4.1454,0
"1000006070",51.8424,5.8476,13
"1000006973",51.8518,5.6731,12
"1000009667",51.8534,4.8911,0
"1000005864",51.8561,6.3139,17
"1000008618",51.8581,4.3922,0
"1000011223",51.8581,5.4122,9
"1000000829",51.8655595946855,5.85728519367069,27
"964376001",51.866541,4.767226,-1
"1000006230",51.867,4.6566,7
"942276001",51.8673,4.6111,0
"1000017119",51.8677,4.997,5
"1000011518",51.8698,6.4849,0
"1000005507",51.8735,4.9755,0
"1000006683",51.8735,5.8623,0
"1000020286",51.8752,5.403,6
"1000005813",51.8786,5.7065,0
"1000005122",51.878992,5.555401,7
"1000009245",51.8834,5.305,3
"1000003832",51.8905216658867,5.2939565455913,5
"1000005113",51.8916,5.0974,2
"1000002542",51.8923421,6.46864230000006,17
"1000019725",51.8925,4.5175,0
"1000015899",51.8939,4.5743,0
"1000019627",51.8975,5.9051,10
"933656001",51.899403,4.747975,1
"1000006690",51.901115,4.5009905,0
"947756001",51.903253,6.390095,14
"1000001857",51.9095077,6.27134060000003,0
"1000010293",51.9139,6.2688,12
"1000003833",51.914,4.3375,6
"1000013075",51.9147,5.5701,9
"1000013497",51.9163,6.7209,50
"1000000355",51.9188,4.4112,10
"1000007766",51.9191,5.971,16
"1000018881",51.919559,6.030437,5
"1000009443",51.9196,5.113,9
"1000001446",51.9258043976942,5.57070284843439,6
"1000012845",51.9286,6.0896,11
"1000006968",51.93,5.58,0
"1000012863",51.9303,5.9401,13
"1000001790",51.9305,4.5829,0
"1000003042",51.9317412307988,5.62196373939514,7
"1000017095",51.9324,5.7117,8
"1000007208",51.9327,5.6287,7
"1000008344",51.934,4.4597,0
"741386082",51.93401,4.78971,0
"1000013880",51.9346,4.6147,0
"1000007452",51.9359,4.5659,36
"1000003802",51.9364937062385,6.07236889947512,0
"1000017654",51.9365,4.2745,0
"1000000274",51.9391060983661,5.78649192810053,0
"1000012789",51.9422,4.536,-2
"708046029",51.9428,5.8756,15
"932406001",51.942852,6.617513,24
"1000011768",51.943445,6.450768,17
"1000012134",51.9444,5.1941,3
"1000005537",51.9472,6.1323,13
"1000000606",51.9484,4.5917,10
"1000001909",51.9489851827403,4.58186476427932,-4
"1000000888",51.949,4.512,-4
"941056001",51.949165,5.294013,5
"1000001872",51.9494111953632,4.51204887486892,0
"1000008264",51.95,6.5243,21
"922706001",51.950194,6.307156,14
"1000016423",51.9503,5.4896,2
"1000011222",51.9505,6.2772,14
"1000014618",51.9507,4.8386,5
"1000018014",51.9509,6.6069,33
"1000009902",51.9536,5.8147,0
"1000013183",51.9541,4.8503,15
"1000020032",51.9541,5.7465,8
"1000013245",51.9571,4.5825,0
"914096001",51.9576,4.6165,-2
"1000000797",51.9602871,4.4958956,0
"1000008046",51.9609,5.9749,15
"1000017819",51.9627,5.6599,7
"1000011983",51.9639,5.5758,40
"1000010159",51.9653,4.5583,0
"1000011724",51.9667,5.6742,25
"1000016030",51.967,6.7258,34
"1000011577",51.9673,5.6759,0
"1000019895",51.9701,5.3183,6
"1000011346",51.9701,5.6504,0
"1000005947",51.9708,5.33,0
"1000007576",51.9708,6.7294,38
"963146001",51.9713,5.3323,0
"962876001",51.971392,4.776983,-2
"1000015852",51.9728,4.3156,0
"1000003422",51.973,4.45,-6
"944506001",51.973374,4.613324,-6
"1000005207",51.9743,4.9358,4
"72630618",51.974669,5.325861,5
"1000003569",51.974805865584,6.3222953653335,15
"1000012948",51.9752,5.6713,12
"1000016983",51.9752,5.7312,20
"1000006717",51.9755,6.725,0
"1000005773",51.9778,5.1732,24
"1000014615",51.9785264,5.7578348,13
"1000020293",51.9791,4.3191,0
"1000012349",51.9792,5.6649,13
"1000020776",51.9792,5.6649,10
"1000016993",51.9793,4.3421,0
"924336001",51.979554,4.341657,-2
"1000020283",51.9796,4.35,0
